25	305	287	278	299	335	411	441	436	445	483	488	500	474	566	697	848	717	780	903	971	998	1006	1032	1088	1098	1105	1220	1335	1449	1564	1679	1782	1885	1987	2090	2193	2295	2397	2499	2601	2703	2858	3014	3169	3325	3480	3758	4037	4315	4548	4780	5075	5252	5287	5502	5612	6016	6243	6411	6733	6006
26	748	796	851	896	987	1080	1154	1230	1007	1044	1075	1131	1267	1241	2015	2251	2497	2880	3276	3766	3779	3639	3499	3360	3220	3080	3079	3078	3076	3075	3074	3129	3184	3239	3294	3349	3393	3436	3480	3523	3567	3608	3649	3690	3731	3772	3905	4039	4172	4261	4350	4488	4628	4849	5019	5121	5257	5395	5540	5581	5026
27	568	589	615	678	764	793	651	700	718	769	809	842	833	931	1097	1143	1088	1230	1368	1497	1764	1822	1845	1912	1876	1988	2062	2241	2353	2321	2450	2123	1741	1472	1538	1638	2313	2989	3664	4340	5015	5260	5505	5750	5995	6240	6652	7065	7477	7411	7345	7417	7353	7538	7629	7883	8240	8609	9043	9413	9246
28	187	198	209	218	232	248	272	301	329	373	448	572	720	1028	1246	1392	1404	1640	2061	2754	3433	3677	3921	4165	4409	4653	5112	5571	6030	6489	6948	7036	7124	7211	7299	7387	7816	8245	8673	9102	9531	9933	10335	10738	11140	11542	11879	12215	12552	12508	12463	12945	13242	14242	14405	14096	14808	15100	15414	15575	13955
29	817	796	1010	1133	1013	1012	1223	1346	1452	1566	1726	1959	2275	3009	3898	4479	5400	6086	6775	7415	7567	7480	7394	7307	7221	7134	7142	7150	7159	7167	7175	7283	7391	7500	7608	7716	7755	7793	7832	7870	7909	8029	8149	8269	8389	8509	8867	9225	9583	9820	10056	10336	10422	10625	10529	10025	9618	9668	9763	9807	9423
32	976	970	976	970	1055	1106	1189	1203	1276	1403	1510	1670	1853	2417	3116	3286	3357	3682	4247	5017	5836	6030	6223	6417	6610	6804	6933	7062	7192	7321	7450	7337	7225	7112	7000	6887	6964	7040	7117	7193	7270	7780	8290	8800	9310	9820	10565	11309	12054	11808	11562	11820	11918	12140	12399	12850	13332	13799	14274	14955	14448
33	157	164	175	179	184	185	187	191	192	196	183	188	223	255	278	340	345	391	499	577	622	632	642	651	661	671	673	675	677	679	681	689	696	704	711	719	748	778	807	837	866	894	922	951	979	1007	1024	1041	1058	1093	1127	1161	1195	1199	1208	1216	1251	1291	1339	1375	1364
34	129	131	135	145	160	96	98	103	104	106	133	138	133	163	183	221	231	277	301	376	430	438	447	455	464	472	476	480	483	487	491	472	454	435	417	398	389	380	372	363	354	352	351	349	348	346	351	355	360	363	366	369	371	376	381	360	352	346	341	336	328
35	329	358	360	408	474	452	485	493	564	574	585	609	685	889	1040	1259	1440	1849	2227	2462	2620	2526	2432	2339	2245	2151	2103	2055	2007	1959	1911	1879	1848	1816	1785	1753	1765	1776	1788	1799	1811	1782	1753	1724	1695	1666	1663	1660	1657	1681	1704	1586	1707	1813	1913	2017	2107	2205	2253	2340	2322
36	247	244	244	263	276	298	306	313	338	303	218	291	150	207	173	551	466	507	587	631	648	634	630	593	597	643	597	639	637	630	638	673	706	746	787	811	856	901	945	990	1035	1130	1224	1319	1413	1508	1638	1768	1898	1933	1968	2074	2189	2314	2438	2568	2710	2862	3038	3216	3080
37	310	323	336	340	359	365	374	399	439	469	460	477	538	644	803	953	1034	1097	1394	1783	2007	2149	2290	2432	2573	2715	2588	2462	2335	2209	2082	1996	1910	1825	1739	1653	1693	1733	1773	1813	1853	1880	1906	1933	1959	1986	2005	2024	2043	2051	2058	2085	2122	2180	2247	2324	2358	2373	2400	2415	2356
38	4857	4723	4774	4984	5354	5799	6373	6716	7220	7840	8567	9532	10686	12201	14639	15566	18255	18482	18905	20809	23143	23542	23941	24341	24740	25139	25517	25895	26273	26651	27029	27189	27348	27508	27667	27827	28773	29718	30664	31609	32555	33057	33559	34060	34562	35064	35356	35647	35939	35638	35336	36210	36528	37031	37652	37848	37810	38493	38994	39172	36801
41	203	219	218	222	239	247	254	259	298	286	280	292	330	381	388	511	596	656	771	862	955	947	940	932	925	917	898	878	859	839	820	808	796	783	771	759	760	762	763	765	766	747	728	710	691	672	681	691	700	704	708	716	721	446	432	446	459	471	479	483	475
