46	12522.4	15217.8	16992.2	19583	22944	26888.7	31256.7	36005.5	41093.1	46557.1	52363.4	58449.7	64740	71198.8	77813.2	84545.7	91341.7
50	18231.6	22507.8	25125.7	28920.1	33179.1	37760.1	42480.6	47368.7	52460.6	57730.4	62969.6	68171.7	73275.1	78349.4	83395.3	88397.8	93307
52	6128.75	7385.69	9256.79	11802.9	15480	20219	25915.9	32455.9	39788.4	47950.8	56766	66191.7	76140.5	86646.7	97684.8	109293	121341
53	28547.3	33395.2	37593.7	41773.4	45699.3	49426.1	53022.3	56827.1	61039.4	65730.8	70660.1	75722.7	80925.7	86362.3	92125.1	98252.9	104743
54	36777.7	39126.1	42977.4	46801.1	50558.6	54073.3	57355.9	60788.3	64402.7	68385.8	72522.6	76547.5	80293.3	83754.1	87017.8	90148.3	93128.9
78	48022.3	51149.5	54225.1	57527.7	61338.8	65355.9	69278.2	73129.6	77006.6	81013.8	85008.4	88945.6	92738.8	96316	99639.2	102715	105577
58	4793.83	5693.03	7066.68	9127.4	11078.6	13061	15213.4	17586.7	20217.2	23084.8	26101.1	29280.7	32648	36212.2	40056.3	44198.6	48631.1
57	51436.4	57792.6	61142	64463.6	67936.2	71709.8	75510.4	79298.6	83070	86930.4	90536.9	93840.3	96930.6	99812	102467	104847	106913
60	16860.9	21428.5	26137.5	31093.7	35915.2	40843.4	45936.9	51250.7	56815.1	62772	69012.9	75530.7	82266.9	89188	96368.4	103852	111732
3	10761.5	11625.2	11956.8	12668.7	13449	14453.6	15806.3	17639	20043.1	23072.7	26580.5	30535.3	34942.4	39908.9	45595.8	52113.5	59493.7
61	10417.1	11175.2	12168.8	13470.2	15077.2	17002.9	19265	21889.5	24922.2	28397.7	32241	36438.5	40939.9	45752.5	50880.3	56332.3	62083.2
62	12095.7	13866.2	17028.4	20872.7	25201.2	30065.8	35587.5	41873.1	48906.2	56657.1	64845.3	73510.6	82596.2	92147	102195	112908	124272
65	1738.39	1825.76	1993.52	2335.52	2868.23	3620.27	4599.6	5814.3	7272.71	9000.19	11036.1	13449.6	16231.2	19365.2	22862.7	26786.7	31212.2
229	1781.7	1924.7	1987.22	2195.55	2498.51	2901.9	3429.39	4124.32	5038.92	6233.87	7748.11	9645.32	12000.6	14893.1	18417.8	22679.6	27782.4
193	33691.3	39936.3	42572.6	46130.3	50144.8	54270.2	58379.8	62865.8	67733	72803.8	77609.1	82035.6	86035.5	89692.5	93202.3	96699.3	100152
66	33632.8	35591	43253.8	48782.6	53119.9	56293.1	58856.9	61308.8	64023.7	66854.5	69466.2	71738	73643.6	75246.9	76642.5	77878.5	78953.3
67	2316.68	2775.74	3462.46	4314.96	5305.34	6506.4	7942.29	9645.8	11650.1	14040.4	16817.7	20059.5	23752.5	27866	32413.5	37440.9	43013.3
71	44698.9	48005.3	51835.4	55114.5	58464.2	61835.4	65125	68793.1	72798.5	76998.5	81022.2	84814.8	88462.2	92085.3	95723.3	99282.2	102586
70	10990.5	14157.3	16345.1	18935.2	22069.6	25808.5	30198.3	35282.8	41076.8	47521.9	54619.4	62371.6	70733.9	79746.2	89330.6	99552	110357
72	41815.3	46425.6	49649.5	52405.9	55136.3	57943.1	60912.4	64107.5	67488.2	70977.3	74414.3	77808.1	81237.3	84778.9	88430.9	92124.2	95782.2
75	14054.2	14331.8	15283	17065.3	18840.2	20675.3	22657.1	24886.3	27463.7	30437.6	33732.9	37286.9	41049.2	45029.7	49289	53923	58962.7
219	39953.4	45775.8	49233.1	53156.7	57737.4	62792	67990.7	73495.6	79369.8	85506.4	91482	97161.9	102597	107912	113147	118205	122920
77	13794.2	20436.7	27826.1	36369.4	44028.6	50559.3	56218.8	61515.4	66769.6	71859.7	76371.3	80353.3	83994.8	87555.9	91206.6	94990.2	98931
