0	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
1	1244.08	1276.8	1309.52	1342.25	1374.97	1407.69	1440.41	1473.13	1505.86	1538.58	1571.3	1631.58	1691.86	1752.14	1812.42	1872.7	1932.98	1993.26	2053.53	2113.81	2174.09	2276.43	2378.77	2481.11	2583.45	2685.79	2788.13	2890.47	2992.81	3095.15	3197.49	3370.19	3542.9	3715.61	3888.31	4061.02	4233.73	4406.43	4579.14	4751.85	4924.55	5147.85	5371.14	5594.44	5817.73	6041.03	6264.32	6487.62	6710.91	6934.21	7157.5	7364.28	7571.06	7777.84	7984.62	8191.4	8398.19	8604.97	8811.75	9018.53	9225.31	9370.11	9514.91	9659.71	9804.51	9949.31	10094.1	10238.9	10383.7	10528.5	10673.3	10762.2	10851.2	10940.1	11029	11117.9	11206.8	11295.7	11384.7	11473.6	11562.5	11637.3	11712.1	11786.9	11861.6	11936.4	12011.2	12086	12160.8	12235.5	12310.3
2	5728.3	5740.55	5752.8	5765.05	5777.29	5789.54	5801.79	5814.04	5826.29	5838.54	5850.79	5910.67	5970.56	6030.45	6090.33	6150.22	6210.1	6269.99	6329.88	6389.76	6449.65	6547.67	6645.69	6743.71	6841.73	6939.75	7037.76	7135.78	7233.8	7331.82	7429.84	7525.39	7620.94	7716.48	7812.03	7907.58	8003.13	8098.67	8194.22	8289.77	8385.31	8543.15	8700.98	8858.81	9016.64	9174.47	9332.31	9490.14	9647.97	9805.8	9963.63	10167	10370.3	10573.7	10777	10980.3	11183.7	11387	11590.4	11793.7	11997	12060.4	12123.7	12187	12250.4	12313.7	12377.1	12440.4	12503.7	12567.1	12630.4	12686.7	12743	12799.4	12855.7	12912	12968.3	13024.6	13081	13137.3	13193.6	13253.5	13313.4	13373.3	13433.2	13493.1	13553	13612.9	13672.8	13732.7	13792.6
3	43331	44127.5	44924	45720.6	46517.1	47313.6	48110.2	48906.7	49703.2	50499.8	51296.3	52894.4	54492.6	56090.7	57688.9	59287	60885.2	62483.3	64081.5	65679.6	67277.8	69458.3	71638.9	73819.4	75999.9	78180.5	80361	82541.5	84722.1	86902.6	89083.1	90918.6	92754.1	94589.6	96425.1	98260.6	100096	101932	103767	105603	107438	109384	111330	113276	115221	117167	119113	121059	123005	124951	126896	129068	131240	133412	135584	137756	139928	142100	144272	146444	148616	151709	154802	157895	160987	164080	167173	170266	173359	176451	179544	181773	184002	186231	188460	190690	192919	195148	197377	199606	201835	205283	208732	212180	215629	219078	222526	225975	229423	232872	236320
4	272.93	270.895	268.859	266.824	264.788	262.752	260.717	258.681	256.646	254.61	252.575	256.699	260.823	264.948	269.072	273.196	277.321	281.445	285.569	289.694	293.818	302.741	311.663	320.586	329.509	338.431	347.354	356.277	365.2	374.122	383.045	391.385	399.724	408.064	416.404	424.744	433.083	441.423	449.763	458.102	466.442	479.87	493.298	506.726	520.154	533.581	547.009	560.437	573.865	587.293	600.721	615.356	629.991	644.627	659.262	673.897	688.533	703.168	717.803	732.439	747.074	763.927	780.779	797.632	814.485	831.338	848.191	865.043	881.896	898.749	915.602	920.583	925.564	930.545	935.527	940.508	945.489	950.471	955.452	960.433	965.414	967.198	968.981	970.765	972.548	974.331	976.115	977.898	979.682	981.465	983.249
6	3611.29	3641.27	3671.26	3701.24	3731.23	3761.21	3791.2	3821.18	3851.17	3881.15	3911.14	4039.68	4168.23	4296.77	4425.32	4553.86	4682.41	4810.95	4939.5	5068.04	5196.59	5530.33	5864.07	6197.81	6531.54	6865.28	7199.02	7532.76	7866.5	8200.24	8533.98	9230.47	9926.96	10623.4	11319.9	12016.4	12712.9	13409.4	14105.9	14802.4	15498.9	16554.2	17609.5	18664.8	19720.2	20775.5	21830.8	22886.1	23941.4	24996.8	26052.1	27396	28739.9	30083.7	31427.6	32771.5	34115.4	35459.3	36803.2	38147	39490.9	41116.7	42742.5	44368.3	45994.1	47619.9	49245.7	50871.5	52497.3	54123.1	55748.9	57744	59739.1	61734.2	63729.3	65724.4	67719.6	69714.7	71709.8	73704.9	75700	78224.6	80749.2	83273.9	85798.5	88323.1	90847.8	93372.4	95897	98421.6	100946
9	118.139	116.971	115.803	114.636	113.468	112.3	111.132	109.965	108.797	107.629	106.461	107.45	108.439	109.428	110.417	111.406	112.395	113.384	114.373	115.362	116.351	119.381	122.411	125.441	128.471	131.501	134.531	137.561	140.591	143.62	146.65	150.5	154.35	158.2	162.05	165.9	169.75	173.6	177.45	181.3	185.15	192.252	199.354	206.456	213.557	220.659	227.761	234.863	241.965	249.066	256.168	266.146	276.124	286.101	296.079	306.057	316.035	326.012	335.99	345.968	355.946	359.688	363.43	367.172	370.915	374.657	378.399	382.141	385.884	389.626	393.368	396.819	400.269	403.72	407.171	410.621	414.072	417.523	420.973	424.424	427.875	429.208	430.542	431.876	433.209	434.543	435.877	437.21	438.544	439.878	441.211
10	116774	115620	114466	113311	112157	111003	109849	108694	107540	106386	105232	106209	107187	108164	109142	110119	111097	112074	113052	114029	115007	118002	120997	123992	126987	129982	132977	135972	138967	141961	144956	148762	152567	156373	160178	163984	167790	171595	175401	179206	183012	190031	197051	204071	211091	218110	225130	232150	239170	246189	253209	263072	272934	282797	292659	302522	312384	322247	332109	341972	351834	355533	359232	362931	366630	370329	374028	377727	381426	385125	388824	392235	395646	399056	402467	405878	409289	412700	416111	419521	422932	424250	425569	426887	428205	429523	430842	432160	433478	434796	436115
11	6549.78	6506.64	6463.49	6420.35	6377.21	6334.07	6290.92	6247.78	6204.64	6161.5	6118.35	6241.68	6365	6488.33	6611.65	6734.98	6858.3	6981.63	7104.95	7228.28	7351.6	7454.43	7557.25	7660.08	7762.9	7865.73	7968.55	8071.38	8174.2	8277.03	8379.86	8448.05	8516.24	8584.44	8652.63	8720.82	8789.02	8857.21	8925.41	8993.6	9061.79	9158.99	9256.19	9353.39	9450.59	9547.79	9645	9742.2	9839.4	9936.6	10033.8	10194.7	10355.5	10516.4	10677.3	10838.1	10999	11159.9	11320.7	11481.6	11642.4	11694.5	11746.5	11798.5	11850.5	11902.5	11954.6	12006.6	12058.6	12110.6	12162.6	12164.6	12166.7	12168.7	12170.7	12172.7	12174.7	12176.8	12178.8	12180.8	12182.8	12184.2	12185.6	12187	12188.4	12189.7	12191.1	12192.5	12193.9	12195.3	12196.7
13	239220	238830	238440	238050	237660	237270	236880	236490	236100	235710	235320	237478	239636	241793	243951	246109	248267	250425	252582	254740	256898	259318	261738	264158	266578	268997	271417	273837	276257	278677	281097	283144	285192	287239	289287	291334	293382	295429	297477	299524	301572	304439	307307	310174	313042	315909	318777	321644	324512	327379	330247	333419	336590	339762	342934	346106	349278	352449	355621	358793	361965	365055	368145	371234	374324	377414	380504	383594	386684	389774	392864	396041	399219	402396	405574	408751	411929	415106	418284	421462	424639	423945	423252	422558	421864	421170	420476	419782	419089	418395	417701
14	65770.2	65101.4	64432.5	63763.7	63094.9	62426	61757.2	61088.4	60419.5	59750.7	59081.9	59529.4	59977	60424.6	60872.2	61319.8	61767.4	62215	62662.5	63110.1	63557.7	64776.4	65995	67213.7	68432.4	69651.1	70869.7	72088.4	73307.1	74525.7	75744.4	77487.8	79231.3	80974.7	82718.1	84461.5	86205	87948.4	89691.8	91435.2	93178.7	96175.5	99172.4	102169	105166	108163	111160	114157	117154	120150	123147	125045	126943	128841	130739	132637	134535	136433	138331	140229	142127	144083	146039	147995	149950	151906	153862	155818	157774	159730	161686	163764	165841	167919	169997	172075	174153	176230	178308	180386	182464	184395	186326	188256	190187	192118	194049	195980	197911	199842	201772
15	21999.9	21855	21710	21565.1	21420.2	21275.3	21130.4	20985.5	20840.6	20695.7	20550.8	20965	21379.2	21793.5	22207.7	22621.9	23036.2	23450.4	23864.6	24278.9	24693.1	25038.5	25383.8	25729.2	26074.6	26420	26765.4	27110.7	27456.1	27801.5	28146.9	28375.9	28605	28834	29063.1	29292.1	29521.2	29750.2	29979.3	30208.4	30437.4	30763.9	31090.4	31416.9	31743.3	32069.8	32396.3	32722.8	33049.3	33375.8	33702.2	34242.6	34782.9	35323.2	35863.6	36403.9	36944.2	37484.5	38024.9	38565.2	39105.5	39280.2	39454.9	39629.7	39804.4	39979.1	40153.8	40328.5	40503.3	40678	40852.7	40859.5	40866.3	40873.1	40879.8	40886.6	40893.4	40900.2	40907	40913.8	40920.6	40925.2	40929.9	40934.5	40939.2	40943.8	40948.4	40953.1	40957.7	40962.4	40967
16	2091.17	2070.5	2049.83	2029.16	2008.49	1987.82	1967.15	1946.48	1925.81	1905.14	1884.46	1901.97	1919.48	1936.98	1954.49	1971.99	1989.5	2007	2024.51	2042.02	2059.52	2113.15	2166.79	2220.42	2274.05	2327.69	2381.32	2434.95	2488.58	2542.22	2595.85	2664	2732.15	2800.29	2868.44	2936.59	3004.74	3072.89	3141.04	3209.19	3277.33	3403.04	3528.75	3654.46	3780.17	3905.87	4031.58	4157.29	4283	4408.71	4534.42	4711.03	4887.65	5064.26	5240.88	5417.49	5594.11	5770.73	5947.34	6123.96	6300.57	6366.81	6433.05	6499.29	6565.54	6631.78	6698.02	6764.26	6830.5	6896.74	6962.98	7024.06	7085.14	7146.22	7207.3	7268.38	7329.46	7390.54	7451.62	7512.7	7573.79	7597.39	7621	7644.6	7668.21	7691.82	7715.42	7739.03	7762.64	7786.24	7809.85
