0	1
1	3
2	2
3	4
6	4
10	4
11	2
13	1
14	1
15	2
16	4
18	3
20	2
21	1
22	4
23	4
25	3
26	4
27	2
28	4
29	4
32	2
33	4
34	4
35	4
36	3
37	4
38	1
41	4
42	4
44	4
45	3
46	4
48	4
50	4
51	2
52	4
53	1
54	2
55	3
56	4
57	1
58	4
60	4
61	4
62	4
63	4
64	4
65	4
66	2
67	4
69	4
70	3
71	1
72	1
73	4
75	4
76	4
77	2
78	1
79	4
81	1
82	1
86	4
87	4
88	4
89	4
90	4
91	4
93	2
94	1
95	3
96	3
97	4
98	4
99	1
101	4
102	1
103	4
104	1
105	4
106	2
107	4
109	4
110	2
111	3
112	2
113	4
114	4
115	4
116	4
118	2
119	1
121	4
122	4
123	3
125	4
129	4
132	4
135	3
137	4
138	4
139	3
140	4
142	3
143	1
145	3
146	1
147	4
148	4
149	4
153	1
154	4
155	4
156	3
158	4
159	3
160	4
161	4
162	3
164	2
165	1
166	1
167	4
168	3
169	2
170	2
171	2
173	4
182	4
183	4
184	2
186	4
188	2
189	2
190	3
191	4
192	4
193	1
194	3
195	4
196	4
197	1
198	4
199	1
200	1
201	4
202	3
203	2
204	3
205	2
206	3
207	4
210	4
211	4
212	1
213	2
216	4
217	2
218	4
219	1
220	4
221	1
223	4
224	2
225	3
226	4
227	3
229	4
230	4
231	4
232	4
233	1
234	3
235	3
236	4
237	4
238	2
239	2
240	4
255	0
