0	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	777.9526192	858.1367161	756.0553618	770.222188	820.6286152	884.5523387	917.7815541	1003.861254	856.9800461	1142.343428	985.1660294	965.0470623	1000.217539	1018.186761	914.8198242	956.5331627	908.509892	908.8384008	885.2843443	809.2156123	565.879281	413.9412418	410.9214515	443.4642934	421.5727474	454.2367676	390.4231117	423.0299928	569.0955097	574.9846347	580.7349633	642.2878925	663.7745312	640.5516917	724.181361	679.8457965	671.0075039	649.9245457	537.8340056	537.8340056
3	0	0	0	0	0	0	0	0	0	0	0	244.7490588	275.5559184	320.5563429	334.2689516	344.8268048	381.2640085	413.3638017	492.8532911	604.4039077	595.8478245	627.3067405	789.8385262	826.1351678	793.207226	803.1421243	881.0788805	846.1007921	869.5499861	840.0941297	877.1799816	905.4158877	908.4582861	887.9536302	837.9865206	852.033242	811.8241816	823.0038406	838.8334462	883.7095639	884.947275	874.4834052	915.2578118	962.0110473	956.211449	980.8751395	1037.861276	1085.247963	1083.368353	1137.555362	1137.555362
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	636.7255449	670.8463295	653.3630572	651.7346647	620.8609099	598.1265559	574.4072808	614.7310272	605.1478663	597.382312	581.1657764	553.0821529	548.3862914	535.4439894	550.4580963	541.4491743	540.5932533	548.9453737	547.061462	569.2429995	565.4510272	550.5482641	551.6888781	541.5530667	528.3861643	531.6802547	531.7361615	519.2743486	531.8979468	533.443417	542.4698803	549.3218685	568.5128667	597.2378436	551.9556316	581.1495179	605.8081979	630.6366949	641.1070478	641.1070478
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1588.815665	0	0	0	0	0	0	0	0	0	0	0	0	0	1629.686859	1632.584966	1683.303513	1698.958515	1698.958515	1698.958515	1698.958515
10	0	0	0	0	0	0	0	0	0	0	0	1380.653615	1379.444153	1411.518089	1415.105561	1378.449703	1403.645704	1420.289327	1424.761073	1483.555061	1486.605863	1429.765411	1416.25282	1419.373415	1449.148877	1361.948314	1424.090935	1479.741939	1508.437105	1444.903254	1411.46652	1434.960601	1489.450708	1469.434276	1552.459429	1547.443736	1575.621021	1638.880144	1662.641766	1653.371803	1650.49336	1550.461507	1470.793556	1553.825478	1755.409762	1731.386204	1870.237714	1867.240189	1922.760639	1853.325369	1853.325369
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2171.313752	2309.840888	1193.328869	646.57799	414.9966267	506.3069838	557.5210777	589.9801457	606.0054016	589.3240329	651.2643615	651.6362723	610.1029478	643.7658019	680.1948794	817.0536805	829.4066409	925.5551316	973.201147	843.1843458	843.1843458
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3063.554271	3115.787084	3172.974865	3284.050959	3349.414167	3463.215578	3546.53798	3692.80795	3763.558415	3792.934763	4063.41137	3989.629744	4035.206344	4264.271226	4294.161626	4345.871446	4405.702986	4671.195674	4629.618471	4683.853176	4737.482031	4694.676425	4817.489524	4561.426052	4651.519236	4621.420866	4620.451793	4764.945062	4770.742248	4998.047328	5052.778478	4926.727783	4957.338611	5160.700572	5111.08065	5121.516102	5403.648627	5469.998434	5554.773876	5610.944679	5644.609147	5502.984031	5676.007358	5686.299094	5649.973022	5863.865691	5910.017393	5929.288409	6019.067609	5970.867268	5635.650057
14	1546.16011	1553.881191	1675.841655	1824.964445	1857.348025	1855.899242	1906.418719	1930.417144	2060.668297	2198.489437	2431.589416	2522.133512	2639.287483	2843.358665	2743.085272	2662.895844	2872.110434	2800.911761	2896.58639	3138.677086	3065.563485	2898.430139	2830.274096	2847.136785	2957.377913	3055.630179	3063.529015	3175.410273	3200.476629	3134.116283	3213.889539	3381.07379	3256.045376	3229.317221	3221.341307	3356.750924	3559.873074	3536.660237	3594.19332	3580.245448	3566.051079	3761.806561	3779.358885	3974.886669	3978.515053	4123.585561	4076.090888	4008.350653	4016.596045	3784.407446	3943.553918
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3664.794524	3372.756155	2803.1165	2328.277385	2095.856917	1660.952375	1518.203014	1437.551927	1505.194237	1386.120757	1420.706788	1404.838863	1402.184677	1456.268238	1522.370017	1652.886193	1592.931505	1417.769569	1522.132392	1337.630977	1337.630977
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
